Write File/Path: tmp/telegram-inbox/products_export_2026-04-11_updated.csv
============================================================

name,actual_price,image_url,is_used
"Blow Molded Horizontal Storage Shed BMS4700 Suncast",858,"https://media-www.canadiantire.ca/product/seasonal-gardening/backyard-living/outdoor-storage/0600636/suncast-70-cu-ft-stow-away-horizontal-shed-8bfc43c0-9fbb-458e-8663-64cb28a47037-jpgrendition.jpg",false
"Santorini 6-Piece Power Reclining Sectional - Walnut Leons",3499,"https://www.leons.ca/cdn/shop/files/Shopify_JPEG-Santorini_80H12661_Sect_SW_800x.jpg?v=1709136928",false
"Non-Stick Rice Cooker & Steamer White, 16 Cups Black & Decker",29.99,"https://media-www.canadiantire.ca/product/living/kitchen/kitchen-appliances/0431373/black-decker-16-cup-rice-cooker-ac0875c9-093a-469f-aa88-b8733ef9d3b1-jpgrendition.jpg",false
"Game Set, 3-pc Spikeball",89.99,"https://www.sportchek.ca/api/v1/product/api/v1/product/image/70331280f?baseStoreId=SC&lang=en_CA&subscription-key=c01ef3612328420c9f5cd9277e815a0e&imwidth=1244&impolicy=gZoom",false
"Yellow Bird 500pc Round Puzzle eeBoo Blue Bird",26.99,"https://cdn.shoplightspeed.com/shops/634329/files/30229472/1600x2048x1/eeboo-blue-bird-yellow-bird-500pc-round-puzzle.jpg",false
"SodaStream Pepsi Zero Sugar SodaStream",7.99,"https://sodastream.ca/cdn/shop/files/CA_RENDER_REFRESH_2023_PZ_440ML_no_shadow.png?v=1769183388&width=1000",false
"Vertical Waffle Maker, Stainless Steel Cuisinart",69.99,"https://media-www.canadiantire.ca/product/living/kitchen/kitchen-appliances/0430054/cuisinart-vertical-waffle-maker-8bb95d2e-d648-40c1-bfc4-0b22d38117c0-jpgrendition.jpg",false
"Paragon 2-Piece Sectional with Right-Facing Chaise - Charcoal Leons",1099,"https://www.leons.ca/cdn/shop/files/Shopify_JPEG-Paragon_23749172_Sect_3Qtr.jpg?pad_color=fff&v=1711383327&width=2048",false
"Mobile Tire Stand, 220-lb MotoMaster",64.99,"https://media-www.canadiantire.ca/product/automotive/auto-maintenance/auto-shop-equipment-supplies/0091515/motomaster-mobile-tire-stand-de218edc-c1ec-419b-b32e-9104ba9bc7a9-jpgrendition.jpg",false
"Storage Deck Box, 99-gal PDG",119.99,"https://media-www.canadiantire.ca/product/seasonal-gardening/backyard-living/outdoor-storage/3994929/recoded-to-0603504-35b0431b-116e-4144-9647-55ddc7a2e511.png",false
